Edad simple;Sexo;Periodo;Total
2 años;Total;1 de octubre de 2002;""
2 años;Total;1 de julio de 2002;395.943
2 años;Total;1 de abril de 2002;""
2 años;Total;1 de enero de 2002;384.738
2 años;Total;1 de octubre de 2001;""
2 años;Total;1 de julio de 2001;376.486
2 años;Total;1 de abril de 2001;""
2 años;Total;1 de enero de 2001;369.739
2 años;Total;1 de octubre de 2000;""
2 años;Total;1 de julio de 2000;368.162
2 años;Total;1 de abril de 2000;""
2 años;Total;1 de enero de 2000;367.587
2 años;Total;1 de octubre de 1999;""
2 años;Total;1 de julio de 1999;364.955
2 años;Total;1 de abril de 1999;""
2 años;Total;1 de enero de 1999;362.151
2 años;Total;1 de octubre de 1998;""
2 años;Total;1 de julio de 1998;363.503
2 años;Total;1 de abril de 1998;""
2 años;Total;1 de enero de 1998;364.683
2 años;Total;1 de octubre de 1997;""
2 años;Total;1 de julio de 1997;367.089
2 años;Total;1 de abril de 1997;""
2 años;Total;1 de enero de 1997;369.646
2 años;Total;1 de octubre de 1996;""
2 años;Total;1 de julio de 1996;377.474
2 años;Total;1 de abril de 1996;""
2 años;Total;1 de enero de 1996;385.343
2 años;Total;1 de octubre de 1995;""
2 años;Total;1 de julio de 1995;391.453
2 años;Total;1 de abril de 1995;""
2 años;Total;1 de enero de 1995;397.348
2 años;Total;1 de octubre de 1994;""
2 años;Total;1 de julio de 1994;395.215
2 años;Total;1 de abril de 1994;""
2 años;Total;1 de enero de 1994;392.994
2 años;Total;1 de octubre de 1993;""
2 años;Total;1 de julio de 1993;392.987
2 años;Total;1 de abril de 1993;""
2 años;Total;1 de enero de 1993;392.577
2 años;Total;1 de octubre de 1992;""
2 años;Total;1 de julio de 1992;395.196
2 años;Total;1 de abril de 1992;""
2 años;Total;1 de enero de 1992;397.716
2 años;Total;1 de octubre de 1991;""
2 años;Total;1 de julio de 1991;397.540
2 años;Total;1 de abril de 1991;""
2 años;Total;1 de enero de 1991;398.517
2 años;Total;1 de octubre de 1990;""
2 años;Total;1 de julio de 1990;407.439
2 años;Total;1 de abril de 1990;""
2 años;Total;1 de enero de 1990;414.876
2 años;Total;1 de octubre de 1989;""
2 años;Total;1 de julio de 1989;421.216
2 años;Total;1 de abril de 1989;""
2 años;Total;1 de enero de 1989;427.414
2 años;Total;1 de octubre de 1988;""
2 años;Total;1 de julio de 1988;437.938
2 años;Total;1 de abril de 1988;""
2 años;Total;1 de enero de 1988;447.948
2 años;Total;1 de octubre de 1987;""
2 años;Total;1 de julio de 1987;459.598
2 años;Total;1 de abril de 1987;""
2 años;Total;1 de enero de 1987;470.239
2 años;Total;1 de octubre de 1986;""
2 años;Total;1 de julio de 1986;475.628
2 años;Total;1 de abril de 1986;""
2 años;Total;1 de enero de 1986;481.131
2 años;Total;1 de octubre de 1985;""
2 años;Total;1 de julio de 1985;496.588
2 años;Total;1 de abril de 1985;""
2 años;Total;1 de enero de 1985;511.899
2 años;Total;1 de octubre de 1984;""
2 años;Total;1 de julio de 1984;528.671
2 años;Total;1 de abril de 1984;""
2 años;Total;1 de enero de 1984;546.449
2 años;Total;1 de octubre de 1983;""
2 años;Total;1 de julio de 1983;557.942
2 años;Total;1 de abril de 1983;""
2 años;Total;1 de enero de 1983;568.909
2 años;Total;1 de octubre de 1982;""
2 años;Total;1 de julio de 1982;579.421
2 años;Total;1 de abril de 1982;""
2 años;Total;1 de enero de 1982;589.416
2 años;Total;1 de octubre de 1981;""
2 años;Total;1 de julio de 1981;604.196
2 años;Total;1 de abril de 1981;""
2 años;Total;1 de enero de 1981;619.341
2 años;Total;1 de octubre de 1980;""
2 años;Total;1 de julio de 1980;629.111
2 años;Total;1 de abril de 1980;""
2 años;Total;1 de enero de 1980;638.742
2 años;Total;1 de octubre de 1979;""
2 años;Total;1 de julio de 1979;649.886
2 años;Total;1 de abril de 1979;""
2 años;Total;1 de enero de 1979;660.731
2 años;Total;1 de octubre de 1978;""
2 años;Total;1 de julio de 1978;661.389
2 años;Total;1 de abril de 1978;""
2 años;Total;1 de enero de 1978;660.599
2 años;Total;1 de octubre de 1977;""
2 años;Total;1 de julio de 1977;666.140
2 años;Total;1 de abril de 1977;""
2 años;Total;1 de enero de 1977;673.422
2 años;Total;1 de octubre de 1976;""
2 años;Total;1 de julio de 1976;666.423
2 años;Total;1 de abril de 1976;""
2 años;Total;1 de enero de 1976;658.481
2 años;Total;1 de octubre de 1975;""
2 años;Total;1 de julio de 1975;659.140
2 años;Total;1 de abril de 1975;""
2 años;Total;1 de enero de 1975;659.342
2 años;Total;1 de octubre de 1974;""
2 años;Total;1 de julio de 1974;657.203
2 años;Total;1 de abril de 1974;""
2 años;Total;1 de enero de 1974;655.348
2 años;Total;1 de octubre de 1973;""
2 años;Total;1 de julio de 1973;649.140
2 años;Total;1 de abril de 1973;""
2 años;Total;1 de enero de 1973;641.977
2 años;Total;1 de octubre de 1972;""
2 años;Total;1 de julio de 1972;636.390
2 años;Total;1 de abril de 1972;""
2 años;Total;1 de enero de 1972;630.603
2 años;Total;1 de octubre de 1971;""
2 años;Total;1 de julio de 1971;632.707
2 años;Total;1 de abril de 1971;""
2 años;Total;1 de enero de 1971;635.129
3 años;Total;1 de enero de 2024;356.596
3 años;Total;1 de octubre de 2023;365.598
3 años;Total;1 de julio de 2023;367.738
3 años;Total;1 de abril de 2023;370.161
3 años;Total;1 de enero de 2023;370.824
